국가명,국가코드(ISO 2자리 코드),겸임(관할),재외공관 유형,재외공관명,재외공관 위도,재외공관 경도,전화번호,영사콜센터번호,무료전화번호,긴급전화번호,재외공관주소
네덜란드,NL,일반,대사관,주 네덜란드 대한민국 대사관,52.093582,4.28729,(31)70-740-0214,(82)2-3210-0404,080-020-0219,(31)64-264-8412,"Verlengde Tolweg 8, 2517 JV The Hague, Netherlands,"
네팔,NP,일반,대사관,주 네팔 대한민국 대사관,27.694457,85.292486,(977)1-427-0172,(82)2-3210-0404,080-020-0219,(977)98510-33178,"P.O.Box 1058 Ravibhawan, Kathmandu, Nepal,"
노르웨이,NO,일반,대사관,주 노르웨이 대한민국 대사관,59.919738,10.724114,(47)2254-7090,(82)2-3210-0404,080-020-0219,(47)9026-3544,"Inkognitogata 3 0258 Oslo Norway,"
뉴질랜드,NZ,일반,대사관,주 뉴질랜드 대한민국 대사관,-41.28572,174.777313,(64)4-473-9073,(82)2-3210-0404,080-020-0219,(64)21-0269-3271,"11th Floor, Harbour Tower, 2 Hunter Street, Wellington 6011, New Zealand,"
뉴질랜드,NZ,일반,분관,주 오클랜드 대한민국 분관,-36.853372,174.763702,(64)9-379-0818,(82)2-3210-0404,080-020-0219,(64)27-646-0404,"Level 12, Tower 1, 205 Queen Street, Auckland Central , New Zealand,"
니우에,NU,관할,대사관,주 뉴질랜드 대한민국 대사관,-41.28572,174.777313,(64)4-473-9073,(82)2-3210-0404,080-020-0219,(64)21-0269-3271,"11th Floor, Harbour Tower, 2 Hunter Street, Wellington 6011, New Zealand,"
니제르,NE,겸임,대사관,주 코트디부아르 대한민국 대사관,5.331987,-3.996877,(225)2248-6701,(82)2-3210-0404,080-020-0219,(225)8827-3480,"01BP 3950 Abidjan 01, Rue Sainte Marie Lot 18-19, Cocody Sud, Abidjan, Cote d&rsquo;Ivoire,"
니카라과,NI,일반,대사관,주 니카라과 대한민국 대사관,12.134636,-86.28535,(505)2267-6777,(82)2-3210-0404,080-020-0219,(505)8855-0037,"Edificio Invercasa Torre III, Frente al Hospital Monte Espana Modulo 5A &amp;5B,"
덴마크,DK,일반,대사관,주 덴마크 대한민국 대사관,55.731206,12.573892,(45)3946-0400,(82)2-3210-0404,080-020-0219,(45)2521-7461,"Svanemoellevej 104, 2900 Hellerup, Denmark,"
도미니카공화국,DO,일반,대사관,주 도미니카공화국 대한민국 대사관,18.45281,-69.960545,(1-809)482-6505,(82)2-3210-0404,080-020-0219,(1-809)383-9091,"Torre Empresarial Forum, Piso 14, Avenida 27 de Febrero No.495, El Millon, Santo Domingo, Republica Dominicana,"
도미니카연방,DM,겸임,대사관,주 도미니카공화국 대한민국 대사관,18.45281,-69.960545,(1-809)482-6505,(82)2-3210-0404,080-020-0219,(1-809)383-9091,"Torre Empresarial Forum, Piso 14, Avenida 27 de Febrero No.495, El Millon, Santo Domingo, Republica Dominicana,"
독일,DE,일반,대사관 본분관,주 독일 연방공화국 대한민국 대사관 본분관,50.69869,7.1566,(49)228-943-790,(82)2-3210-0404,080-020-0219,(49)170-337-9105,"Godesberger Allee 142-148, 53175 Bonn, Germany,"
독일,DE,일반,총영사관,주 프랑크푸르트 대한민국 총영사관,50.07833,8.62353,(49)69-956-7520,(82)2-3210-0404,080-020-0219,(49)173-363-4854,"Generalkonsulat der Republik Korea, Lyoner Str. 34, 60528 Frankfurt am Main, Germany,"
독일,DE,일반,총영사관,주 함부르크 대한민국 총영사관,53.552942,9.98393,(49)40-650-677-600,(82)2-3210-0404,080-020-0219,(49)170-340-1498,"Kaiser-Wilhelm-Str 9, 20355 Hamburg. Germany,"
독일,DE,일반,대사관,주 독일 대한민국 대사관,52.50901,13.346508,(49)30-260-650,(82)2-3210-0404,080-020-0219,(49)173-407-6943,"Stuelerstr 8/10, 10787, Berlin, Germany,"
동티모르,TL,일반,대사관,주 동티모르 대한민국 대사관,-8.548387,125.561151,(670)332-1635,(82)2-3210-0404,080-020-0219,(670)7723-5068,"P.O.Box 230, Avenida de Portugal, Motael, Dili, Timor-Leste,"
라오스,LA,일반,대사관,주 라오스 대한민국 대사관,17.9701505,102.5968525,(856)21-255-770,(82)2-3210-0404,080-020-0219,(856)20-5839-0080,"20 Samsenthay Road, Noongduangnuea Village, Sikhottabong District, Vientiane, Lao PDR,"
라이베리아,LR,겸임,대사관,주 나이지리아 대한민국 대사관,9.084108,7.49347,(234)810-389-0991,(82)2-3210-0404,080-020-0219,(234)809-998-1726,"No.9 Ovia cresent, Off Pope John Paul Ⅱ street, Off Gana street, Maitama, Abuja,"
라트비아,LV,일반,대사관,주 라트비아 대한민국 대사관,56.9560582,24.1096265,(371)6732-4274,(82)2-3210-0404,080-020-0219,(371)2573-5627,"Jura Alunana iela 2-3, Riga, Latvia,"
러시아,RU,일반,대사관,주 러시아 대한민국 대사관,55.737956,37.57501,(7)495-783-2727,(82)2-3210-0404,080-020-0219,(7)495-783-2727,"St. Plyushchikha 56 bldg 1, Moscow,"
러시아,RU,일반,총영사관,주 이르쿠츠크 대한민국 총영사관,52.282376,104.273833,(7)3952-250-301,(82)2-3210-0404,080-020-0219,(7)964-650-9403,"3rd. Floor, 44, Gegarin Boulevard, lrkustk Russia,"
러시아,RU,일반,총영사관 댈러스 출장소,주 블라디보스톡 대한민국 총영사관 유즈노사할린스크 출장소,46.950357,142.731927,(7)4242-462-430,(82)2-3210-0404,080-020-0219,(7)984-132-8098,"283 Bm Lennin St., Yuzhno-Sakhalinsk, Russia,"
러시아,RU,일반,총영사관,주 상트페테르부르크 대한민국 총영사관,59.939155,30.358574,(7)812-448-1909,(82)2-3210-0404,080-020-0219,(7)905-255-5496,"191104 Nekrasova Street Bldg. 32-A, Saint Petersburg, Russia,"
러시아,RU,일반,총영사관,주 블라디보스톡 대한민국 총영사관,43.122694,131.880936,(7)423-240-2222,(82)2-3210-0404,080-020-0219,(7)914-072-8347,"Pologaya Street 19, Vladivostok, 690091, Russia,"
레바논,LB,일반,대사관,주 레바논 대한민국 대사관,33.84007,35.547211,(961)5-922-846,(82)2-3210-0404,080-020-0219,(961)81-007-491,"Bldg.4, Elias Sarkis Road 1209, Yarzeh, Baabda, Lebanon,"
레소토,LS,겸임,대사관,주 남아프리카공화국 대한민국 대사관,-25.773293,28.226605,(27)12-460-2508,(82)2-3210-0404,080-020-0219,(27)66-332-5897,"265 Melk Street, Nieuw Muckleneuk, Pretoria 0181, South Africa,"
루마니아,RO,일반,대사관,주 루마니아 대한민국 대사관,44.47797222,26.10472222,(40)21-230-7198,(82)2-3210-0404,080-020-0219,(40)741-185-558,"Sky Tower Building S.R.L, Calea Floreasca, No.246C. Etaj 33, Sector 1, Bucharest, Romania,"
룩셈부르크,LU,겸임,대사관,주 벨기에 유럽연합 대한민국 대사관,50.796035,4.402728,(32)2-675-5777,(82)2-3210-0404,080-020-0219,(32)476-45-75-06,"Chaussee de la Hulpe 175, 1170 Brussels, Belgium,"
르완다,RW,일반,대사관,주 르완다 대한민국 대사관,-1.938502,30.10031,(250)252-577-577,(82)2-3210-0404,080-020-0219,(250)780-493-746,"P.O. Box 6404, 34 KG 13 Ave(Golf Course Road), Nyarutarama, Kigali, Rwanda,"
리비아,LY,일반,대사관,주 리비아 대한민국 대사관,32.866323,13.091041,(216)71-274-759,(82)2-3210-0404,080-020-0219,(216)22-575-924,"P. O. Box 4781/5160, Abounawas Area, Gargaresh St., Tripoli, Libya,"
리투아니아,LT,겸임,대사관,주 폴란드 대한민국 대사관,52.21676,21.041807,(48)22-559-2900,(82)2-3210-0404,080-020-0219,(48)887-46-0600,"ul. Szwolezerow 6, 00-464, Warsaw, Poland,"
리히텐슈타인,LI,겸임,대사관,주 스위스 대한민국 대사관,46.936967,7.46239,(41)31-356-2444,(82)2-3210-0404,080-020-0219,(41)79-897-4086,"Kalcheggweg 38, P.O.Box 301, 3006 Bern, Switzerland,"
마다가스카르,MG,일반,대사관,주 마다가스카르 대한민국 대사관,-18.884792,47.522183,(261)20-222-2933,(82)2-3210-0404,080-020-0219,(261)32-781-0874,"Immeuble Fitaratra-9eme Etage Nord, Ankorondrano, 101 Antananarivo, Madagascar,"
마셜제도,MH,겸임,대사관,주 피지 대한민국 대사관,-18.140068,178.423532,(679)330-0977,(82)2-3210-0404,080-020-0219,(679)992-2186,"8th Fl., Vanua House, Victoria Parade, Suva, Fiji,"
마이크로네시아연방,FM,겸임,대사관,주 피지 대한민국 대사관,-18.140068,178.423532,(679)330-0977,(82)2-3210-0404,080-020-0219,(679)992-2186,"8th Fl., Vanua House, Victoria Parade, Suva, Fiji,"
말라위,MW,겸임,대사관,주 짐바브웨 대한민국 대사관,-17.831424,31.052597,(263-242)756-541,(82)2-3210-0404,080-020-0219,(263)782-840-787,"3rd floor(Bridge-Red light side), Eastgate Building, 3rd Street/Robert Mugabe Rolad, Harare, Zimbavwe(P.O.Box 4970),"
말레이시아,MY,일반,대사관,주 말레이시아 대한민국 대사관,3.163,101.738,(60)3-4251-2336,(82)2-3210-0404,080-020-0219,(60)17-623-8343,"No. 9 &amp; 11, Jalan Nipah, Off Jalan Ampang, 55000 Kuala Lumpur, Malaysia,"
말리,ML,겸임,대사관,주 세네갈 대한민국 대사관,14.695506,-17.467318,(221)33-824-06-72,(82)2-3210-0404,080-020-0219,(221)77-639-5109,"Ambassade de la Republique de Coree, Villa Hamoudy, Rue Aime Cesaire, Fann Residence, B.P.5850, Dakar, Senegal,"
멕시코,MX,일반,대사관,주 멕시코 대한민국 대사관,19.416351,-99.213946,(52)55-5202-9866,(82)2-3210-0404,080-020-0219,(52)55-5437-8587,"Lope Diaz de Armendariz No.110, Col. Lomas Virreyes, C.P. 11000, Mexico, D.F.,"
모나코,MC,겸임,대사관,주 프랑스 대한민국 대사관,48.858052,2.316395,(33)1-4753-0101,(82)2-3210-0404,080-020-0219,(33)6-8028-5396,"125 rue de Grenelle 75007 Paris,"
모로코,MA,일반,대사관,주 모로코 대한민국 대사관,33.978091,-6.840522,(212)537-75-1767,(82)2-3210-0404,080-020-0219,(212)66-277-2408,"41 Av. Mehdi Ben Barka, Souissi, Rabat, Morocco,"
모리셔스,MU,겸임,대사관,주 마다가스카르 대한민국 대사관,-18.884792,47.522183,(261)20-222-2933,(82)2-3210-0404,080-020-0219,(261)32-781-0874,"Immeuble Fitaratra-9eme Etage Nord, Ankorondrano, 101 Antananarivo, Madagascar,"
모리타니아,MR,겸임,대사관,주 모로코 대한민국 대사관,33.978091,-6.840522,(212)537-75-1767,(82)2-3210-0404,080-020-0219,(212)66-277-2408,"41 Av. Mehdi Ben Barka, Souissi, Rabat, Morocco,"
모잠비크,MZ,일반,대사관,주 모잠비크공화국 대한민국 대사관,-25.957806,32.602585,(258)21-495-625,(82)2-3210-0404,080-020-0219,(258)84-518-1272,"138, Rua D. Maria II , Maputo, Mozambique,"
몬테네그로,ME,겸임,대사관,주 세르비아 대한민국 대사관,44.78293,20.45104,(381)11-3674-225,(82)2-3210-0404,080-020-0219,(381)63-108-1397,"MILOSA SAVCICA 4, 11000 Belgrade, Serbia,"
몰도바,MD,겸임,대사관,주 우크라이나 대한민국 대사관,50.453521,30.51192,(380)44-246-3759,(82)2-3210-0404,080-020-0219,(380)95-119-0404,"12, Striletska St., 01001, Kyiv, Ukraine,"
몰디브,MV,겸임,대사관,주 스리랑카 대한민국 대사관,6.918141,79.847301,(94)11-269-9036,(82)2-3210-0404,080-020-0219,(94)77-332-5676,"No. 98, Dharmapala Mawatha, Colombo 7, Sri Lanka,"
몰타,MT,겸임,대사관,주 이탈리아 대한민국 대사관,41.927196,12.485185,(39)06-802461,(82)2-3210-0404,080-020-0219,(39)335-185-0499,"Via Barnaba Oriani n. 30, Roma, 00197 Italy,"
몽골,MN,일반,대사관,주 몽골 대한민국 대사관,47.914228,106.927335,(976)7007-1020,(82)2-3210-0404,080-020-0219,(976)9911-4119,"Mahatma Gandhi street-39, Khan-Uul district-15, Ulaanbaatar-17011, Mongolia,"
미국,US,일반,총영사관,주 샌프란시스코 대한민국 총영사관,37.778723,-122.42004,(1)415-921-2251,(82)2-3210-0404,080-020-0219,(1)415-265-4859,"3500 Clay street San Francisco, CA 94118, U.S.A,"
미국,US,일반,총영사관,주 시애틀 대한민국 총영사관,47.614745,-122.339339,(1)206-441-1011,(82)2-3210-0404,080-020-0219,(1)206-947-8293,"115 W Mercer St. Seattle, WA 98119,"
미국,US,일반,대사관,주 미국 대한민국 대사관,38.91209,-77.051264,(1)202-939-5600,(82)2-3210-0404,080-020-0219,(1)202-939-5653,"2320 Massachusetts Avenue, N.W., Washington, D.C. 20008, U.S.A.,"
미국,US,일반,출장소,주 앵커리지 대한민국 출장소,61.142386,-149.867276,(1)907-339-7955,(82)2-3210-0404,080-020-0219,(1)907-331-7135,"800 E. Dimond Blvd, Suite 3-695, Anchorage, AK 99515, U.S.A.,"
미국,US,일반,총영사관,주 애틀랜타 대한민국 총영사관,33.76020746,-84.38661598,(1)404-522-1611,(82)2-3210-0404,080-020-0219,(1)404-295-2807,"229 Peachtree St., Suite 2100, International tower, Atlanta, GA 30303. USA,"
미국,US,일반,총영사관,주 보스턴 대한민국 총영사관,42.357228,-71.186603,(1)617-641-2830,(82)2-3210-0404,080-020-0219,(1)617-264-0404,"300 Washington Street, 2nd Floor. Newton, MA 02458, U.S.A.,"
미국,US,일반,총영사관,주 시카고 대한민국 총영사관,41.895927,-87.612389,(1)312-822-9485,(82)2-3210-0404,080-020-0219,(1)312-405-4425,"NBC Tower Suite 2700, 455 North Cityfront Plaza Drive, Chicago, Illinois 60611 U.S.A.,"
미국,US,일반,총영사관 댈러스 출장소,주 휴스턴 대한민국 총영사관 댈러스 출장소,32.93664,-96.822985,(1)972-701-0180,(82)2-3210-0404,080-020-0219,(1)214-796-3959,"14001 N Dallas Parkway Ste.450, Dallas, TX 75240,"
미국,US,일반,출장소,주 하갓냐 대한민국 출장소,13.498961,144.777238,(1)671-647-6488,(82)2-3210-0404,080-020-0219,(1)671-688-5886,"153 Zoilo Street, Tamuning, Guam 96913,"
미국,US,일반,총영사관,주 호놀룰루 대한민국 총영사관,21.334952,-157.84187,(1)808-595-6109,(82)2-3210-0404,080-020-0219,(1)808-265-9349,"2756 Pali Highway Honolulu, Hawaii 96817, U.S.A,"
미국,US,일반,총영사관,주 휴스턴 대한민국 총영사관,29.745657,-95.462634,(1)713-961-0186,(82)2-3210-0404,080-020-0219,(1)281-785-4231,"1990 Post Oak Blvd. Suite 1250, Houston, TX 77056,"
미국,US,일반,총영사관,주 로스앤젤레스 대한민국 총영사관,34.062062,-118.292648,(1)213-385-9300,(82)2-3210-0404,080-020-0219,(1)213-700-1147,"Korean Consulate General in Los Angeles 3243 Wilshire Blvd, Los Angeles, CA 90010,"
미국,US,일반,총영사관,주 뉴욕 대한민국 총영사관,40.761975,-73.970658,(1)646-674-6000,(82)2-3210-0404,080-020-0219,(1)646-965-3639,"460 Park Ave. New York, NY10022,"
미얀마,MM,일반,대사관,주 미얀마연방공화국 대한민국 대사관,16.823726,96.146075,(95)1-527-142,(82)2-3210-0404,080-020-0219,(95)9-4211-58030,"No.97 University Avenue, Bahan Township, Yangon, Union of Myanmar,"
바누아투,VU,겸임,대사관,주 파푸아뉴기니독립국 대한민국 대사관,-9.476991,147.150749,(675)321-5822,(82)2-3210-0404,080-020-0219,(675)7394-6778,"P.O.Box 381 Port Moresby, Papua New Guinea, 4th floor, Pacific MMI Building, Sec 21, Lot 2&amp;3, Champion Parade, Granville, Port Moresby, Papua New Guinea,"
바레인,BH,일반,대사관,주 바레인 대한민국 대사관,26.221415,50.580087,(973)1753-1120,(82)2-3210-0404,080-020-0219,(973)6674-4737,"Villa 401, Road 915, Block 309, Salmaniya, Manama, Kingdom of Bahrain,"
바베이도스,BB,겸임,대사관,주 트리니다드토바고 대한민국 대사관,10.669715,-61.522711,(1)868-622-9081,(82)2-3210-0404,080-020-0219,(1)868-316-5672,"30# Elizabth street, St.Clair, Port of Spain, Trinidad and Tobago,"
바하마,BS,겸임,대사관,주 도미니카공화국 대한민국 대사관,18.45281,-69.960545,(1-809)482-6505,(82)2-3210-0404,080-020-0219,(1-809)383-9091,"Torre Empresarial Forum, Piso 14, Avenida 27 de Febrero No.495, El Millon, Santo Domingo, Republica Dominicana,"
방글라데시,BD,일반,대사관,주 방글라데시 대한민국 대사관,23.798038,90.421481,(880)2-5881-2088,(82)2-3210-0404,080-020-0219,(880)17-5563-9618,"4, Madani Avenue, Baridhara, Dhaka-1212 Bangladesh,"
베냉,BJ,겸임,대사관,주 가나 대한민국 대사관,5.575495,-0.185161,(233)302-771-705,(82)2-3210-0404,080-020-0219,(233)244-321-858,"No.10, Fifth Avenue Extension, Cantonments, P.O.Box GP 13700, Accra, Ghana,"
베네수엘라,VE,일반,대사관,주 베네수엘라 대한민국 대사관,10.491337,-66.861998,(58)212-954-1270,(82)2-3210-0404,080-020-0219,(58)412-309-3247,"Av. Francisco de Miranda, Centro Lido, Torre B, Piso 9, Ofic. 91-92-B, El Rosal, Caracas, Venezuela,"
베트남,VN,일반,대사관,주 베트남 대한민국 대사관,21.067095,105.796723,(84)24-3771-0404,(82)2-3210-0404,080-020-0219,(84)90-402-6126,"SQ4, Do Nhuan, Khu Ngaoi Giao Doan, Xuan Tao, Bac Tu Liem, Hanoi, Vietnam,"
베트남,VN,일반,총영사관,주 다낭 대한민국 총영사관,16.027969,108.237979,(84)23-6356-6100,(82)2-3210-0404,080-020-0219,(84)93-112-0404,"Tang 3-4, Lo A1-2 Chuong Duong, P.Khue My, Q.Ngu Hanh Son, T.P Da Nang, Vietnam"
베트남,VN,일반,총영사관,주 호치민 대한민국 총영사관,10.774473,106.69567,(84)28-3822-5757,(82)2-3210-0404,080-020-0219,(84)93-850-0238,"107 Nguyen Du Street, Districr 1, Hochiminh City, Vietnam,"
벨기에,BE,일반,대사관,주 벨기에 유럽연합 대한민국 대사관,50.796035,4.402728,(32)2-675-5777,(82)2-3210-0404,080-020-0219,(32)476-45-75-06,"Chaussee de la Hulpe 175, 1170 Brussels, Belgium,"
벨라루스,BY,일반,대사관,주 벨라루스 대한민국 대사관,53.910452,27.558342,(375)17-215-0170,(82)2-3210-0404,080-020-0219,(375)29-369-1320,"220002, Minsk, Storozhovskaya str.10,"
벨리즈,BZ,겸임,대사관,주 엘살바도르 대한민국 대사관,13.708722,-89.240969,(503)2263-9145,(82)2-3210-0404,080-020-0219,(503)7481-7401,"Cl, Mirador y 87 Avenida Norte, Edif, Torre Futura ,Nivel 14, Local 05, Complejo WTC,Col, Escalon, San Salvador,El Salvador,"
보스니아헤르체고비나,BA,겸임,대사관,주 크로아티아 대한민국 대사관,45.840064,15.975947,(385)1-4821-282,(82)2-3210-0404,080-020-0219,(385)91-2200-325,"Ksaverska cesta 111/A-B, 10000 Zagreb, Croatia,"
보츠와나,BW,겸임,대사관,주 남아프리카공화국 대한민국 대사관,-25.773293,28.226605,(27)12-460-2508,(82)2-3210-0404,080-020-0219,(27)66-332-5897,"265 Melk Street, Nieuw Muckleneuk, Pretoria 0181, South Africa,"
볼리비아,BO,일반,대사관,주 볼리비아 대한민국 대사관,-16.540091,-68.08616,(591)2-211-0361,(82)2-3210-0404,080-020-0219,(591)7673-3334,"Av. Ballivian Esquina Calle 13 Edificio Torre Lucia Piso 4 y 5,"
부룬디,BI,겸임,대사관,주 르완다 대한민국 대사관,-1.938502,30.10031,(250)252-577-577,(82)2-3210-0404,080-020-0219,(250)780-493-746,"P.O. Box 6404, 34 KG 13 Ave(Golf Course Road), Nyarutarama, Kigali, Rwanda,"
부르키나파소,BF,겸임,대사관,주 코트디부아르 대한민국 대사관,5.331987,-3.996877,(225)2248-6701,(82)2-3210-0404,080-020-0219,(225)8827-3480,"01BP 3950 Abidjan 01, Rue Sainte Marie Lot 18-19, Cocody Sud, Abidjan, Cote d&rsquo;Ivoire,"
부탄,BT,겸임,대사관,주 방글라데시 대한민국 대사관,23.798038,90.421481,(880)2-5881-2088,(82)2-3210-0404,080-020-0219,(880)17-5563-9618,"4, Madani Avenue, Baridhara, Dhaka-1212 Bangladesh,"
북마케도니아,MK,관할,대사관,주 불가리아 대한민국 대사관,42.671014,23.351161,(359)2-971-2181,(82)2-3210-0404,080-020-0219,(359)887-503-270,"2V Srebarna Street MobiArt Building, Floor 4, Sofia, Bulgaria,"
불가리아,BG,일반,대사관,주 불가리아 대한민국 대사관,42.671014,23.351161,(359)2-971-2181,(82)2-3210-0404,080-020-0219,(359)887-503-270,"2V Srebarna Street MobiArt Building, Floor 4, Sofia, Bulgaria,"
브라질,BR,일반,대사관,주 브라질 대한민국 대사관,-15.776487,-47.796623,(55)61-3321-2500,(82)2-3210-0404,080-020-0219,(55)61-99658-2421,"SEN Qd. 801 Lote 14, Asa Norte, Brasilia-DF,"
브라질,BR,일반,총영사관,주 상파울루 대한민국 총영사관,-23.570884,-46.644843,(55)11-3141-1278,(82)2-3210-0404,080-020-0219,(55)11-97188-5194,"Av. paulista, 37, 9 andar, Cerqueira Cesar CEP: 01311-902, Sao Paulo, SP Brasil,"
브루나이,BN,일반,대사관,주 브루나이 대한민국 대사관,4.9208489,114.9577357,(673)233-0248,(82)2-3210-0404,080-020-0219,(673)729-1336,"Lot No 24160, Simpang 336, Diplomatic Enclave, Jalan Kebangsaan, Kampong Kianggeh, Bandar Seri Begawan, Brunei,"
사모아,WS,겸임,대사관,주 뉴질랜드 대한민국 대사관,-41.28572,174.777313,(64)4-473-9073,(82)2-3210-0404,080-020-0219,(64)21-0269-3271,"11th Floor, Harbour Tower, 2 Hunter Street, Wellington 6011, New Zealand,"
사우디아라비아,SA,일반,대사관,주 사우디아라비아 대한민국 대사관,24.683989,46.626642,(966)11-488-2211,(82)2-3210-0404,080-020-0219,(966)50-080-1065,"Diplometic Quarter, P.O.Box 94399, Riyadh 11693, Saudi Arabia,"
사우디아라비아,SA,일반,총영사관,주 젯다 대한민국 총영사관,21.334072,39.093873,(966)12-668-1990,(82)2-3210-0404,080-020-0219,(966)55-668-3432,"P.O.BOX 55503, Jeddah 21544 Kingdom of Saudl Arabia Rawdah Center 2nd, Rawdah District, Jeddah, Kingdom of Saudl Arabia,"
사이프러스,CY,겸임,대사관,주 그리스 대한민국 대사관,37.984663,23.760519,(30)210-698-4080,(82)2-3210-0404,080-020-0219,(30)694-611-7098,"Embassy of the Republic of Korea , Athens Tower A  building , 19th Floor, 2-4 Messogion Avenue, 115 27, Athens, Greece,"
산마리노,SM,겸임,대사관,주 이탈리아 대한민국 대사관,41.927196,12.485185,(39)06-802461,(82)2-3210-0404,080-020-0219,(39)335-185-0499,"Via Barnaba Oriani n. 30, Roma, 00197 Italy,"
상투메프린시페,ST,겸임,대사관,주 가봉 대한민국 대사관,0.477587266,9.393928461,(241)6530-1900,(82)2-3210-0404,080-020-0219,(241)7750-7822,"B.P.2620, Libreville, Gabon,"
세네갈,SN,일반,대사관,주 세네갈 대한민국 대사관,14.695506,-17.467318,(221)33-824-06-72,(82)2-3210-0404,080-020-0219,(221)77-639-5109,"Ambassade de la Republique de Coree, Villa Hamoudy, Rue Aime Cesaire, Fann Residence, B.P.5850, Dakar, Senegal,"
세르비아,RS,일반,대사관,주 세르비아 대한민국 대사관,44.78293,20.45104,(381)11-3674-225,(82)2-3210-0404,080-020-0219,(381)63-108-1397,"MILOSA SAVCICA 4, 11000 Belgrade, Serbia,"
세이셸,SC,겸임,대사관,주 에티오피아 대한민국 대사관,9.051879,38.727486,(251)113-72-81-11,(82)2-3210-0404,080-020-0219,(251)92-217-4741,"Embassy of the Repulic of Korea House No. 856, Kebele 04, Nefas Silk Lafto, Addis Ababa, Ethiopia,"
