Year	Month	Date	Time	IP	URL
2018	12	20	124501	58.*.154.119	-
2018	12	20	220001	103.*.135.91	-
2018	12	20	215001	14.*.202.109	-
2018	12	20	180000	118.*.144.30	-
2018	12	20	151002	1.*.67.66	-
2018	12	20	210002	110.*.131.107	-
2018	12	20	212002	211.*.158.158	-
2018	12	20	172500	1.*.83.241	-
2018	12	20	201000	211.*.1.55	-
2018	12	20	195002	103.*.181.181	-
2018	12	20	194500	218.*.64.45	-
2018	12	20	194000	114.*.136.13	-
2018	12	20	125001	211.*.1.155	-
2018	12	20	124501	27.*.118.60	-
2018	12	20	131503	211.*.1.155	-
2018	12	20	144503	14.*.77.225	-
2018	12	20	175003	183.*.101.252	-
2018	12	20	215000	58.*.254.244	-
2018	12	20	203000	27.*.112.98	-
2018	12	20	192001	103.*.220.2	-
2018	12	20	153003	1.*.135.190	-
2018	12	20	173000	183.*.101.240	-
2018	12	20	151501	183.*.79.62	-
2018	12	20	172500	110.*.128.6	-
2018	12	20	183002	116.*.154.105	-
2018	12	20	161500	103.*.134.180	-
2018	12	20	164501	203.*.21.108	-
2018	12	20	214501	211.*.176.47	-
2018	12	20	165500	59.*.20.1	-
2018	12	20	121502	110.*.129.170	-
2018	12	20	205500	218.*.202.97	-
2018	12	20	180002	1.*.21.123	-
2018	12	20	193002	218.*.47.242	-
2018	12	20	154500	125.*.140.87	-
2018	12	20	204501	116.*.138.71	-
2018	12	20	214001	125.*.196.119	-
2018	12	20	165001	114.*.35.158	-
2018	12	20	214000	110.*.129.226	-
2018	12	20	142500	211.*.76.14	-
2018	12	20	215500	125.*.196.39	-
2018	12	20	143501	175.*.168.157	-
2018	12	20	172001	1.*.21.123	-
2018	12	20	184502	27.*.102.247	-
2018	12	20	152002	211.*.1.3	-
2018	12	20	121502	110.*.129.170	-
2018	12	20	184501	103.*.134.180	-
2018	12	20	125502	59.*.101.105	-
2018	12	20	192003	122.*.77.135	-
2018	12	20	221001	116.*.132.186	-
2018	12	20	234500	218.*.202.97	-
2018	12	20	134500	218.*.5.108	-
2018	12	20	212500	112.*.238.63	-
2018	12	20	124501	118.*.42.211	-
2018	12	20	174000	211.*.1.107	-
2018	12	20	234501	61.*.92.8	-
2018	12	20	140002	121.*.61.15	-
2018	12	20	210000	121.*.128.206	-
2018	12	20	213000	218.*.64.45	-
2018	12	20	190000	175.*.62.247	-
2018	12	20	224003	121.*.115.110	-
2018	12	20	185501	116.*.155.27	-
2018	12	20	170500	59.*.212.94	-
2018	12	20	150000	61.*.92.8	-
2018	12	20	211001	175.*.146.182	-
2018	12	20	123500	52.*.37.21	-
2018	12	20	130002	175.*.125.29	-
2018	12	20	174502	115.*.69.217	-
2018	12	20	221501	211.*.158.158	-
2018	12	20	140000	211.*.225.138	-
2018	12	20	163004	121.*.122.90	-
2018	12	20	213501	114.*.50.3	-
2018	12	20	231002	115.*.181.222	-
2018	12	20	154500	221.*.47.48	-
2018	12	20	152000	110.*.129.170	-
2018	12	20	183502	110.*.128.6	-
2018	12	20	134003	27.*.114.33	-
2018	12	20	195000	58.*.23.150	-
2018	12	20	180500	125.*.198.20	-
2018	12	20	134004	61.*.166.232	-
2018	12	20	181002	61.*.59.237	-
2018	12	20	175002	211.*.66.175	-
2018	12	20	141501	116.*.53.112	-
2018	12	20	203001	61.*.242.130	-
2018	12	20	212500	218.*.202.97	-
2018	12	20	171503	27.*.75.75	-
2018	12	20	144000	115.*.69.5	-
2018	12	20	231501	27.*.114.33	-
2018	12	20	151501	218.*.111.175	-
2018	12	20	124002	221.*.47.48	-
2018	12	20	171501	211.*.1.107	-
2018	12	20	221501	115.*.69.217	-
2018	12	20	202000	49.*.105.103	-
2018	12	20	185501	122.*.202.81	-
2018	12	20	151002	1.*.67.66	-
2018	12	20	235500	116.*.138.72	-
2018	12	20	235502	125.*.196.39	-
2018	12	20	121000	121.*.96.167	-
2018	12	20	164501	27.*.112.83	-
2018	12	20	160002	14.*.252.223	-
2018	12	20	160001	218.*.111.175	-
2018	12	20	174001	114.*.50.3	-
2018	12	20	175003	222.*.45.23	-
2018	12	20	205500	222.*.10.137	-
2018	12	20	131502	183.*.79.62	-
2018	12	20	163004	121.*.203.60	-
2018	12	20	121502	110.*.129.170	-
2018	12	20	124502	211.*.1.105	-
2018	12	20	120500	61.*.55.131	-
2018	12	20	135500	125.*.201.41	-
2018	12	20	202000	116.*.224.129	-
2018	12	20	133000	114.*.50.2	-
2018	12	20	161501	114.*.136.14	-
2018	12	20	204500	27.*.112.98	-
2018	12	20	143503	220.*.205.12	-
2018	12	20	221001	121.*.178.180	-
2018	12	20	183502	222.*.50.203	-
2018	12	20	135502	121.*.254.65	-
2018	12	20	134503	211.*.1.105	-
2018	12	20	200001	116.*.138.72	-
2018	12	20	174502	222.*.10.137	-
2018	12	20	234000	183.*.79.62	-
2018	12	20	194500	103.*.181.181	-
2018	12	20	203502	110.*.129.170	-
2018	12	20	160001	218.*.111.175	-
2018	12	20	180502	115.*.69.5	-
2018	12	20	234001	27.*.114.33	-
2018	12	20	180000	27.*.70.74	-
2018	12	20	151500	211.*.158.158	-
2018	12	20	163003	118.*.144.30	-
2018	12	20	124501	58.*.154.119	-
2018	12	20	230001	116.*.138.78	-
2018	12	20	174502	183.*.101.246	-
2018	12	20	162002	211.*.32.1	-
2018	12	20	131002	59.*.212.94	-
2018	12	20	221000	58.*.23.150	-
2018	12	20	195500	211.*.241.198	-
2018	12	20	153003	211.*.76.14	-
2018	12	20	223000	121.*.178.180	-
2018	12	20	201502	27.*.70.74	-
2018	12	20	183500	115.*.181.222	-
2018	12	20	124501	121.*.115.110	-
2018	12	20	174003	175.*.177.241	-
2018	12	20	163000	61.*.55.131	-
2018	12	20	141501	61.*.92.8	-
2018	12	20	195002	211.*.127.61	-
2018	12	20	122500	222.*.91.18	-
2018	12	20	191002	211.*.76.14	-
2018	12	20	133001	122.*.202.81	-
2018	12	20	170001	218.*.58.92	-
2018	12	20	174500	125.*.198.20	-
2018	12	20	163503	1.*.21.123	-
2018	12	20	231000	115.*.96.82	-
2018	12	20	203503	61.*.166.232	-
2018	12	20	174000	211.*.76.14	-
2018	12	20	202002	219.*.33.112	-
2018	12	20	194003	125.*.136.19	-
2018	12	20	151001	14.*.202.109	-
2018	12	20	224501	27.*.70.74	-
2018	12	20	130002	58.*.203.60	-
2018	12	20	215500	116.*.154.140	-
2018	12	20	231502	211.*.24.121	-
2018	12	20	171500	61.*.92.8	-
2018	12	20	163002	27.*.70.74	-
2018	12	20	222002	211.*.6.96	-
2018	12	20	153002	114.*.50.3	-
2018	12	20	134003	222.*.52.246	-
2018	12	20	195001	183.*.101.246	-
2018	12	20	125001	222.*.255.89	-
2018	12	20	123501	222.*.50.209	-
2018	12	20	181000	27.*.118.60	-
2018	12	20	181000	27.*.118.60	-
2018	12	20	215000	118.*.144.30	-
2018	12	20	233501	219.*.33.112	-
2018	12	20	224001	183.*.101.213	-
2018	12	20	155002	27.*.70.74	-
2018	12	20	165002	211.*.32.1	-
2018	12	20	141500	122.*.202.81	-
2018	12	20	200503	218.*.6.68	-
2018	12	20	190500	222.*.45.23	-
2018	12	20	120500	175.*.177.241	-
2018	12	20	202500	14.*.221.108	-
2018	12	20	133000	211.*.32.1	-
2018	12	20	174002	58.*.92.35	-
2018	12	20	231002	116.*.132.186	-
2018	12	20	193003	61.*.5.224	-
2018	12	20	172002	211.*.32.1	-
2018	12	20	175001	211.*.1.154	-
2018	12	20	181000	211.*.25.21	-
2018	12	20	221500	118.*.144.30	-
2018	12	20	165001	114.*.35.158	-
2018	12	20	151002	1.*.67.66	-
2018	12	20	175002	211.*.13.171	-
2018	12	20	224502	1.*.64.11	-
2018	12	20	174502	115.*.69.217	-
2018	12	20	163501	112.*.233.252	-
2018	12	20	174001	60.*.42.76	-
2018	12	20	191001	221.*.47.48	-
2018	12	20	121001	52.*.77.133	-
2018	12	20	230500	114.*.43.225	-
2018	12	20	192502	219.*.33.112	-
2018	12	20	141000	211.*.1.105	-
2018	12	20	221501	211.*.158.158	-
2018	12	20	131501	49.*.29.101	-
2018	12	20	152000	114.*.50.3	-
2018	12	20	230001	116.*.138.78	-
2018	12	20	121001	211.*.241.198	-
2018	12	20	155002	27.*.70.74	-
2018	12	20	161001	211.*.133.8	-
2018	12	20	220503	211.*.32.1	-
2018	12	20	162500	114.*.57.90	-
2018	12	20	201500	183.*.101.246	-
2018	12	20	185000	219.*.33.112	-
2018	12	20	154500	106.*.233.114	-
2018	12	20	145501	211.*.1.3	-
2018	12	20	125000	116.*.138.78	-
2018	12	20	130001	58.*.203.60	-
2018	12	20	214501	115.*.226.124	-
2018	12	20	230502	183.*.101.246	-
2018	12	20	195001	121.*.204.54	-
2018	12	20	120500	61.*.55.131	-
2018	12	20	220000	1.*.249.174	-
2018	12	20	122002	52.*.66.126	-
2018	12	20	141502	211.*.1.155	-
2018	12	20	210002	116.*.132.186	-
2018	12	20	180501	211.*.1.107	-
2018	12	20	173502	118.*.144.30	-
2018	12	20	225000	211.*.1.161	-
2018	12	20	142501	61.*.92.8	-
2018	12	20	210503	125.*.196.39	-
2018	12	20	120001	211.*.140.174	-
2018	12	20	224003	52.*.74.4	-
2018	12	20	133002	125.*.198.20	-
2018	12	20	192001	222.*.60.210	-
2018	12	20	134002	58.*.13.83	-
2018	12	20	121001	118.*.42.211	-
2018	12	20	161501	27.*.113.65	-
2018	12	20	222501	211.*.241.184	-
2018	12	20	204002	211.*.1.161	-
2018	12	20	144000	27.*.102.150	-
2018	12	20	142000	54.*.90.61	-
2018	12	20	151001	1.*.67.66	-
2018	12	20	180501	211.*.47.4	-
2018	12	20	210503	125.*.196.39	-
2018	12	20	125002	211.*.1.161	-
2018	12	20	143001	115.*.69.5	-
2018	12	20	190500	211.*.1.154	-
2018	12	20	213502	222.*.60.209	-
2018	12	20	224500	211.*.14.183	-
2018	12	20	182500	220.*.205.12	-
2018	12	20	175001	218.*.64.36	-
2018	12	20	180501	121.*.3.139	-
2018	12	20	210501	114.*.136.13	-
2018	12	20	184503	203.*.251.129	-
2018	12	20	170502	219.*.33.112	-
2018	12	20	124500	114.*.50.3	-
2018	12	20	115502	210.*.68.11	-
2018	12	20	222000	211.*.13.171	-
2018	12	20	163003	118.*.144.30	-
2018	12	20	220000	1.*.249.174	-
2018	12	20	225000	222.*.60.211	-
2018	12	20	195501	210.*.58.10	-
2018	12	20	163000	61.*.55.131	-
2018	12	20	124002	221.*.47.48	-
2018	12	20	152002	1.*.21.123	-
2018	12	20	235502	52.*.66.126	-
2018	12	20	200000	218.*.64.45	-
2018	12	20	192000	115.*.226.124	-
2018	12	20	121501	221.*.47.48	-
2018	12	20	131000	125.*.201.41	-
2018	12	20	145501	222.*.50.203	-
2018	12	20	190502	121.*.88.44	-
2018	12	20	230502	183.*.101.201	-
2018	12	20	130000	14.*.2.90	-
2018	12	20	153501	114.*.50.3	-
2018	12	20	213500	222.*.133.214	-
2018	12	20	143001	115.*.69.5	-
2018	12	20	134500	220.*.128.100	-
2018	12	20	131503	211.*.1.155	-
2018	12	20	172003	211.*.66.142	-
2018	12	20	172003	1.*.46.231	-
2018	12	20	202002	114.*.35.158	-
2018	12	20	175001	211.*.66.175	-
2018	12	20	121500	222.*.133.214	-
2018	12	20	131502	211.*.241.198	-
2018	12	20	174000	211.*.1.107	-
2018	12	20	235000	222.*.60.211	-
2018	12	20	215501	114.*.50.3	-
2018	12	20	222001	27.*.107.156	-
2018	12	20	214501	58.*.23.150	-
2018	12	20	122501	112.*.110.141	-
2018	12	20	170001	218.*.58.92	-
2018	12	21	184501	114.*.57.90	-
2018	12	21	123501	222.*.10.137	-
2018	12	21	45000	118.*.42.211	-
2018	12	21	233501	211.*.127.61	-
2018	12	21	100003	27.*.107.156	-
2018	12	21	134000	110.*.128.6	-
2018	12	21	143503	116.*.138.76	-
2018	12	21	134002	218.*.6.68	-
2018	12	21	104000	114.*.43.225	-
2018	12	21	63501	116.*.155.27	-
2018	12	21	200501	61.*.242.130	-
2018	12	21	5002	114.*.50.2	-
2018	12	21	144003	218.*.58.92	-
2018	12	21	50002	211.*.133.8	-
2018	12	21	125502	27.*.99.172	-
2018	12	21	152000	116.*.138.76	-
2018	12	21	222500	218.*.6.68	-
2018	12	21	123001	203.*.240.100	-
2018	12	21	190001	210.*.109.134	-
2018	12	21	91502	180.*.192.126	-
2018	12	21	72503	116.*.155.27	-
2018	12	21	222500	61.*.55.131	-
2018	12	21	224500	118.*.144.30	-
2018	12	21	35500	222.*.63.182	-
2018	12	21	35000	211.*.127.61	-
2018	12	21	135000	125.*.201.3	-
2018	12	21	110001	115.*.69.5	-
2018	12	21	91001	121.*.79.152	-
2018	12	21	105002	59.*.178.1	-
2018	12	21	202502	52.*.66.126	-
2018	12	21	180500	180.*.56.132	-
2018	12	21	235502	61.*.89.234	-
2018	12	21	22002	115.*.166.3	-
2018	12	21	110002	58.*.29.39	-
2018	12	21	120500	125.*.196.119	-
2018	12	21	24503	211.*.66.127	-
2018	12	21	4502	203.*.251.129	-
2018	12	21	81501	1.*.24.138	-
2018	12	21	51501	211.*.1.19	-
2018	12	21	150002	218.*.111.110	-
2018	12	21	233002	211.*.176.47	-
2018	12	21	72500	121.*.128.206	-
2018	12	21	165503	61.*.242.130	-
2018	12	21	202502	211.*.1.155	-
2018	12	21	182001	211.*.1.155	-
2018	12	21	80504	222.*.255.89	-
2018	12	21	1002	203.*.213.64	-
2018	12	21	161003	210.*.14.43	-
2018	12	21	144002	180.*.204.93	-
2018	12	21	23001	210.*.68.11	-
2018	12	21	123002	221.*.0.210	-
2018	12	21	193500	211.*.1.155	-
2018	12	21	202000	27.*.64.19	-
2018	12	21	84502	121.*.128.206	-
2018	12	21	114000	27.*.64.19	-
2018	12	21	95001	27.*.113.176	-
2018	12	21	114004	121.*.66.114	-
2018	12	21	53504	211.*.106.141	-
2018	12	21	82504	121.*.128.206	-
2018	12	21	104001	115.*.69.217	-
2018	12	21	153002	114.*.35.158	-
2018	12	21	191502	211.*.158.158	-
2018	12	21	233000	122.*.239.115	-
2018	12	21	91002	121.*.240.84	-
2018	12	21	200002	211.*.158.158	-
2018	12	21	42001	58.*.254.244	-
2018	12	21	221503	106.*.137.2	-
2018	12	21	41501	180.*.180.58	-
2018	12	21	74003	218.*.86.176	-
2018	12	21	104001	59.*.205.178	-
2018	12	21	165501	180.*.62.157	-
2018	12	21	93502	61.*.166.232	-
2018	12	21	122502	27.*.107.156	-
2018	12	21	14002	121.*.160.231	-
2018	12	21	110502	121.*.115.110	-
2018	12	21	2501	222.*.108.117	-
2018	12	21	145501	116.*.138.76	-
2018	12	21	213001	210.*.149.84	-
2018	12	21	222500	61.*.55.131	-
2018	12	21	63001	116.*.138.78	-
2018	12	21	65000	27.*.102.194	-
2018	12	21	24502	27.*.112.83	-
2018	12	21	203502	27.*.203.185	-
2018	12	21	141000	180.*.204.93	-
2018	12	21	35500	222.*.50.203	-
2018	12	21	80002	116.*.155.27	-
2018	12	21	183503	218.*.64.36	-
2018	12	21	23003	27.*.70.74	-
2018	12	21	74002	52.*.74.4	-
2018	12	21	74501	1.*.83.241	-
2018	12	21	180001	114.*.177.69	-
2018	12	21	130001	110.*.131.103	-
2018	12	21	224500	27.*.203.185	-
2018	12	21	111501	115.*.178.73	-
2018	12	21	231501	211.*.78.130	-
2018	12	21	175002	211.*.123.242	-
2018	12	21	201501	211.*.237.81	-
2018	12	21	104500	59.*.178.1	-
2018	12	21	91001	121.*.79.152	-
2018	12	21	135001	1.*.135.190	-
2018	12	21	95500	210.*.14.28	-
2018	12	21	211000	211.*.66.127	-
2018	12	21	224501	1.*.83.241	-
2018	12	21	105003	61.*.166.232	-
2018	12	21	141001	218.*.111.110	-
2018	12	21	181500	27.*.67.120	-
2018	12	21	23000	211.*.225.138	-
2018	12	21	11002	222.*.10.137	-
2018	12	21	44000	211.*.76.14	-
2018	12	21	215501	180.*.62.156	-
2018	12	21	195002	27.*.113.65	-
2018	12	21	61502	52.*.66.126	-
2018	12	21	172001	1.*.29.77	-
2018	12	21	95002	121.*.3.139	-
2018	12	21	105503	114.*.50.2	-
2018	12	21	230501	121.*.3.135	-
2018	12	21	212003	103.*.134.180	-
2018	12	21	154002	58.*.29.39	-
2018	12	21	200000	27.*.102.194	-
2018	12	21	193501	175.*.19.40	-
2018	12	21	45502	59.*.253.145	-
2018	12	21	234001	114.*.50.2	-
2018	12	21	115002	27.*.118.169	-
2018	12	21	185003	14.*.21.92	-
2018	12	21	2003	106.*.137.2	-
2018	12	21	60500	106.*.233.114	-
2018	12	21	5500	222.*.91.18	-
2018	12	21	113000	116.*.132.186	-
2018	12	21	230003	220.*.205.12	-
2018	12	21	4503	180.*.204.93	-
2018	12	21	62505	118.*.42.211	-
2018	12	21	24001	58.*.254.244	-
2018	12	21	101000	121.*.79.152	-
2018	12	21	51001	114.*.35.158	-
2018	12	21	44000	211.*.127.61	-
2018	12	21	22500	52.*.66.126	-
2018	12	21	100501	211.*.14.183	-
2018	12	21	75500	14.*.2.90	-
2018	12	21	180503	115.*.15.185	-
2018	12	21	21501	114.*.136.14	-
2018	12	21	80001	221.*.100.215	-
2018	12	21	81501	1.*.24.138	-
2018	12	21	164500	180.*.204.93	-
2018	12	21	222500	61.*.55.131	-
2018	12	21	25002	61.*.198.160	-
2018	12	21	183502	27.*.203.185	-
2018	12	21	63002	52.*.77.133	-
2018	12	21	4503	27.*.203.185	-
2018	12	21	52501	211.*.225.138	-
2018	12	21	100003	27.*.107.156	-
2018	12	21	100502	218.*.59.213	-
2018	12	21	180503	115.*.15.185	-
2018	12	21	143500	61.*.18.167	-
2018	12	21	213503	121.*.153.165	-
2018	12	21	170500	115.*.96.82	-
2018	12	21	51001	114.*.35.158	-
2018	12	21	12002	122.*.21.33	-
2018	12	21	121000	1.*.10.210	-
2018	12	21	180503	180.*.133.147	-
2018	12	21	133003	61.*.18.167	-
2018	12	21	91001	61.*.242.130	-
2018	12	21	11500	210.*.40.214	-
2018	12	21	222002	220.*.205.12	-
2018	12	21	150500	211.*.176.47	-
2018	12	21	2500	203.*.213.64	-
2018	12	21	65002	116.*.155.27	-
2018	12	21	65000	211.*.133.8	-
2018	12	21	53004	211.*.225.138	-
2018	12	21	95501	211.*.32.1	-
2018	12	21	222503	211.*.37.42	-
2018	12	21	60003	118.*.123.251	-
2018	12	21	134503	210.*.68.11	-
2018	12	21	180500	180.*.56.132	-
2018	12	21	93000	52.*.66.126	-
2018	12	21	154501	211.*.66.127	-
2018	12	21	190000	210.*.23.41	-
2018	12	21	101000	121.*.79.152	-
2018	12	21	80504	211.*.1.3	-
2018	12	21	91501	121.*.177.250	-
2018	12	21	85502	222.*.63.182	-
2018	12	21	200500	116.*.138.73	-
2018	12	21	33003	211.*.133.8	-
2018	12	21	85503	114.*.185.93	-
2018	12	21	5001	27.*.70.74	-
2018	12	21	95502	210.*.68.11	-
2018	12	21	51501	1.*.249.174	-
2018	12	21	211003	211.*.1.107	-
2018	12	21	63501	61.*.166.232	-
2018	12	21	143503	116.*.138.76	-
2018	12	21	83001	52.*.66.126	-
2018	12	21	110500	222.*.133.214	-
2018	12	21	13501	121.*.178.180	-
2018	12	21	90000	52.*.74.4	-
2018	12	21	113500	222.*.60.212	-
2018	12	21	30000	59.*.20.1	-
2018	12	21	235500	52.*.77.133	-
2018	12	21	134000	175.*.69.8	-
2018	12	21	84502	222.*.10.137	-
2018	12	21	154002	58.*.29.39	-
2018	12	21	45500	183.*.79.142	-
2018	12	21	92501	221.*.47.48	-
2018	12	21	65002	58.*.57.15	-
2018	12	21	94000	211.*.137.28	-
2018	12	21	3502	115.*.96.82	-
2018	12	21	4502	222.*.63.182	-
2018	12	21	155502	218.*.58.92	-
2018	12	21	134001	114.*.150.142	-
2018	12	21	230501	182.*.85.238	-
2018	12	21	193501	175.*.19.40	-
2018	12	21	72503	116.*.155.27	-
2018	12	21	105502	114.*.145.134	-
2018	12	21	134502	116.*.154.140	-
2018	12	21	190002	222.*.108.117	-
2018	12	21	175500	123.*.151.93	-
2018	12	21	44500	218.*.202.97	-
2018	12	21	80504	211.*.1.3	-
2018	12	21	203502	27.*.203.185	-
2018	12	21	93002	1.*.83.241	-
2018	12	21	74002	211.*.1.3	-
2018	12	21	152502	61.*.18.167	-
2018	12	21	200001	121.*.192.25	-
2018	12	21	45000	222.*.60.211	-
2018	12	21	150501	211.*.1.214	-
2018	12	21	113502	27.*.107.156	-
2018	12	21	12500	122.*.77.135	-
2018	12	21	65003	52.*.74.4	-
2018	12	21	225000	125.*.136.19	-
2018	12	21	205501	101.*.28.2	-
2018	12	21	113000	116.*.132.186	-
2018	12	21	181501	183.*.63.39	-
2018	12	21	114004	121.*.66.114	-
2018	12	21	65001	52.*.77.133	-
2018	12	21	91501	27.*.66.218	-
2018	12	21	215501	211.*.37.42	-
2018	12	21	120002	27.*.107.156	-
2018	12	21	111500	115.*.178.73	-
2018	12	21	53502	58.*.29.39	-
2018	12	21	2501	222.*.108.117	-
2018	12	21	34500	101.*.95.94	-
2018	12	21	122500	125.*.196.112	-
2018	12	21	230502	103.*.135.91	-
2018	12	21	85501	61.*.18.167	-
2018	12	21	195501	121.*.115.110	-
2018	12	21	32001	220.*.184.123	-
2018	12	21	175003	211.*.1.154	-
2018	12	21	90502	1.*.249.174	-
2018	12	21	11501	118.*.144.30	-
2018	12	21	184500	211.*.1.155	-
2018	12	21	221002	110.*.129.170	-
2018	12	21	111501	115.*.178.73	-
2018	12	21	144500	121.*.135.131	-
2018	12	21	171002	121.*.162.18	-
2018	12	21	183503	27.*.64.19	-
2018	12	21	142502	103.*.181.181	-
2018	12	21	12002	27.*.112.83	-
2018	12	21	171503	125.*.196.39	-
2018	12	21	2501	58.*.29.39	-
2018	12	21	164502	160.*.161.10	-
2018	12	21	74004	180.*.62.157	-
2018	12	21	210502	210.*.109.134	-
2018	12	21	93503	222.*.255.89	-
2018	12	21	213000	61.*.242.130	-
2018	12	21	152002	211.*.206.66	-
2018	12	21	2002	121.*.246.139	-
2018	12	21	54502	211.*.127.61	-
2018	12	21	183001	121.*.147.110	-
2018	12	21	154003	115.*.69.217	-
2018	12	21	165502	218.*.201.157	-
2018	12	21	143500	61.*.18.167	-
2018	12	21	90000	211.*.237.81	-
2018	12	21	102500	121.*.66.114	-
2018	12	21	113001	103.*.220.2	-
2018	12	21	102001	210.*.14.28	-
2018	12	21	190002	222.*.108.117	-
2018	12	21	3000	180.*.62.157	-
2018	12	21	14001	59.*.157.149	-
2018	12	21	182001	211.*.1.155	-
2018	12	21	125501	116.*.132.186	-
2018	12	21	115501	175.*.19.49	-
2018	12	21	84001	211.*.1.3	-
2018	12	21	63003	222.*.60.211	-
2018	12	21	214000	180.*.56.197	-
2018	12	21	144500	211.*.133.8	-
2018	12	21	191002	211.*.99.200	-
2018	12	21	103002	27.*.107.156	-
2018	12	21	184000	211.*.1.154	-
2018	12	21	161502	211.*.32.1	-
2018	12	21	221003	110.*.129.170	-
2018	12	21	50500	183.*.123.118	-
2018	12	21	62506	220.*.232.46	-
2018	12	21	221503	125.*.196.119	-
2018	12	21	144002	211.*.158.158	-
2018	12	21	104000	121.*.79.152	-
2018	12	21	92501	14.*.2.90	-
2018	12	21	164502	118.*.219.156	-
2018	12	21	150502	218.*.58.92	-
2018	12	21	113502	112.*.9.194	-
2018	12	21	125501	203.*.213.64	-
2018	12	21	151002	180.*.204.93	-
2018	12	21	34000	59.*.20.1	-
2018	12	21	71503	61.*.179.201	-
2018	12	21	152502	175.*.168.157	-
